,OverallQual,Neighborhood,Foundation,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,SalePrice
0,7,CollgCr,PConc,7,1710,2,856,2,2003,208500
1,6,Veenker,CBlock,6,1262,2,1262,2,1976,181500
2,7,CollgCr,PConc,7,1786,2,920,2,2001,223500
3,7,Crawfor,BrkTil,7,1717,3,756,1,1915,140000
4,8,NoRidge,PConc,8,2198,3,1145,2,2000,250000
5,5,Mitchel,Wood,5,1362,2,796,1,1993,143000
6,8,Somerst,PConc,8,1694,2,1686,2,2004,307000
7,7,NWAmes,CBlock,7,2090,2,1107,2,1973,200000
9,5,BrkSide,BrkTil,5,1077,1,991,1,1939,118000
10,5,Sawyer,CBlock,5,1040,1,1040,1,1965,129500
11,9,NridgHt,PConc,9,2324,3,1175,3,2005,345000
12,5,Sawyer,CBlock,5,912,1,912,1,1962,144000
13,7,CollgCr,PConc,7,1494,3,1494,2,2006,279500
14,6,NAmes,CBlock,6,1253,1,1253,1,1960,157000
15,7,BrkSide,BrkTil,7,854,2,832,1,1929,132000
16,6,NAmes,CBlock,6,1004,2,1004,1,1970,149000
17,4,Sawyer,Slab,4,1296,2,0,2,1967,90000
18,5,SawyerW,PConc,5,1114,2,1114,1,2004,159000
19,5,NAmes,CBlock,5,1339,1,1029,1,1958,139000
20,8,NridgHt,PConc,8,2376,3,1158,3,2005,325300
21,7,IDOTRR,PConc,7,1108,1,637,1,1930,139400
22,8,CollgCr,PConc,8,1795,2,1777,2,2002,230000
23,5,MeadowV,PConc,5,1060,2,1040,1,1976,129900
24,5,Sawyer,CBlock,5,1060,1,1060,1,1968,154000
25,8,NridgHt,PConc,8,1600,3,1566,2,2007,256300
26,5,NAmes,CBlock,5,900,2,900,1,1951,134800
27,8,NridgHt,PConc,8,1704,3,1704,2,2007,306000
28,5,NAmes,CBlock,5,1600,1,1484,1,1957,207500
29,4,BrkSide,BrkTil,4,520,1,520,1,1927,68500
31,5,Sawyer,CBlock,5,1228,1,1228,1,1966,149350
32,8,CollgCr,PConc,8,1234,2,1234,2,2007,179900
33,5,NAmes,CBlock,5,1700,2,1398,1,1959,165500
34,9,NridgHt,PConc,9,1561,2,1561,2,2005,277500
35,8,NridgHt,PConc,8,2452,3,1117,3,2004,309000
36,5,CollgCr,PConc,5,1097,2,1097,1,1994,145000
37,5,NAmes,CBlock,5,1297,2,1297,1,1954,153000
38,5,NAmes,CBlock,5,1057,1,1057,1,1953,109000
40,6,NAmes,CBlock,6,1324,2,1088,2,1965,160000
41,5,Timber,CBlock,5,1328,1,1350,1,1959,170000
42,5,SawyerW,CBlock,5,884,2,840,1,1983,144000
43,5,CollgCr,CBlock,5,938,1,938,1,1975,130250
44,5,NAmes,CBlock,5,1150,1,1150,1,1959,141000
45,9,NridgHt,PConc,9,1752,2,1752,2,2005,319900
46,7,Mitchel,PConc,7,2149,2,1434,1,2003,239686
47,8,Somerst,PConc,8,1656,3,1656,2,2006,249700
49,5,Sawyer,CBlock,5,955,1,955,1,1966,127000
50,6,Gilbert,PConc,6,1470,2,794,2,1997,177000
51,6,BrkSide,PConc,6,1176,2,816,1,1934,114500
54,5,NAmes,CBlock,5,1360,2,384,1,1955,130000
55,6,NAmes,CBlock,6,1425,2,1425,2,1964,180500
56,8,Somerst,PConc,8,1739,2,970,2,1999,172500
57,7,CollgCr,PConc,7,1720,2,860,2,2004,196500
59,5,CollgCr,CBlock,5,780,1,780,1,1972,124900
60,6,SawyerW,PConc,6,1158,2,1158,1,2004,158000
61,5,IDOTRR,BrkTil,5,1111,1,530,1,1920,101000
62,8,NridgHt,PConc,8,1370,2,1370,2,2006,202500
63,7,OldTown,BrkTil,7,1710,2,576,2,1921,140000
64,7,CollgCr,PConc,7,2034,2,1057,2,1997,219500
65,8,NridgHt,PConc,8,2473,3,1143,2,2004,317000
66,7,NAmes,CBlock,7,2207,2,1947,2,1970,180000
67,7,CollgCr,PConc,7,1479,2,1453,2,2003,226000
68,4,OldTown,CBlock,4,747,1,747,1,1945,80000
69,7,ClearCr,CBlock,7,2287,2,1304,2,1953,225000
70,7,NAmes,CBlock,7,2223,2,2223,2,1973,244000
71,4,Mitchel,CBlock,4,845,2,845,1,1982,129500
72,7,Gilbert,PConc,7,1718,2,832,2,1998,185000
73,5,NAmes,CBlock,5,1086,2,1086,1,1954,144900
74,3,OldTown,CBlock,3,1605,1,840,2,1915,107400
75,4,MeadowV,CBlock,4,988,1,462,1,1973,91000
76,4,NAmes,CBlock,4,952,1,952,1,1956,135750
77,5,BrkSide,CBlock,5,1285,1,672,1,1948,127000
78,4,Sawyer,CBlock,4,1768,0,1768,2,1968,136500
79,5,OldTown,PConc,5,1230,2,440,1,1910,110000
80,6,NAmes,CBlock,6,2142,1,896,2,1968,193500
81,6,Mitchel,PConc,6,1337,2,1237,2,1998,153500
82,8,Somerst,PConc,8,1563,3,1563,2,2007,245000
83,5,NAmes,CBlock,5,1065,2,1065,1,1960,126500
84,7,Gilbert,PConc,7,1474,2,384,2,1995,168500
85,8,NoRidge,CBlock,8,2417,2,1288,2,1991,260000
86,6,Gilbert,PConc,6,1560,2,684,2,2005,174000
87,6,Somerst,PConc,6,1224,2,612,2,2009,164500
89,4,CollgCr,PConc,4,990,0,990,1,1994,123600
90,4,NAmes,Slab,4,1040,2,0,1,1950,109900
91,5,NAmes,CBlock,5,1235,2,1235,1,1961,98600
92,5,Crawfor,BrkTil,5,964,2,876,1,1921,163500
94,6,CollgCr,PConc,6,1786,2,824,2,1997,204750
95,6,Gilbert,PConc,6,1470,2,680,2,1993,185000
96,7,CollgCr,PConc,7,1588,2,1588,2,1999,214000
97,4,Edwards,CBlock,4,960,1,960,1,1965,94750
99,4,NAmes,CBlock,4,1225,0,950,1,1959,128950
100,6,NWAmes,PConc,6,1610,2,1610,2,1977,205000
101,6,SawyerW,CBlock,6,1732,2,741,2,1985,178000
102,5,SawyerW,Slab,5,1535,2,0,2,1979,118964
103,7,CollgCr,PConc,7,1226,3,1226,2,2009,198900
104,7,IDOTRR,PConc,7,1818,1,1040,1,1931,169500
105,8,Somerst,PConc,8,1992,2,1053,2,2003,250000
106,4,OldTown,BrkTil,4,1047,1,641,1,1885,100000
107,5,OldTown,CBlock,5,789,1,789,1,1948,115000
108,5,IDOTRR,CBlock,5,1517,0,793,2,1919,115000
109,6,NWAmes,CBlock,6,1844,2,1844,2,1977,190000
110,6,Edwards,CBlock,6,1855,1,994,2,1954,136900
111,7,Gilbert,PConc,7,1430,2,384,2,2000,180000
112,7,CollgCr,PConc,7,2696,3,1264,2,2007,383970
114,6,Crawfor,CBlock,6,2320,1,1028,2,1945,259500
115,6,Somerst,PConc,6,1458,2,729,2,1999,176000
116,5,Sawyer,CBlock,5,1092,1,1092,1,1962,139000
117,5,Edwards,PConc,5,1125,2,1125,1,2006,155000
118,7,SawyerW,PConc,7,3222,3,1673,3,1990,320000
119,6,CollgCr,PConc,6,1456,2,728,2,2005,163990
120,6,ClearCr,CBlock,6,988,2,938,1,1969,180000
121,4,IDOTRR,PConc,4,1123,1,732,1,1939,100000
122,6,NAmes,CBlock,6,1080,1,1080,1,1958,136000
123,6,SawyerW,PConc,6,1199,2,1199,2,1993,153900
124,6,NWAmes,CBlock,6,1586,2,1362,2,1979,181000
126,6,NPkVill,CBlock,6,958,2,1078,2,1976,128000
127,5,OldTown,BrkTil,5,840,0,672,1,1930,87000
128,6,NAmes,CBlock,6,1348,2,660,1,1966,155000
129,5,NAmes,CBlock,5,1053,2,1008,1,1958,150000
